left_wrist_force,right_wrist_force
0.0,0.0
0.0,0.0
1091.515574785811,0.0
390.5124837953327,426.9923713687407
0.0,0.0
0.0,0.0
257.6941016011038,0.0
0.0,0.0
315.94179032858733,0.0
292.67200038774484,390.5124837953327
287.1705394265849,353.5533905932738
314.29473291533543,400.195264839553
310.53746634752497,291.547594742265
310.53746634752497,295.6869086084767
318.5189062344791,261.00766272276377
366.39793801219986,294.8119103767689
366.39793801219986,300.46260628866577
377.8594682918212,310.0179206289713
353.5533905932738,263.523138347365
343.3122802920221,263.523138347365
342.683003116583,340.22703871065636
343.8727334205541,404.6475866992014
343.3122802920221,450.69390943299857
300.46260628866577,479.4323434029312
326.8353249572163,623.723185591892
334.488738299786,623.723185591892
353.5533905932738,838.1527307120107
343.3122802920221,634.6477588219925
343.3122802920221,634.6477588219925
364.7692978102735,3508.91721190455
377.8594682918212,430.11626335213145
377.8594682918212,430.11626335213145
353.5533905932738,462.3143604748122
353.5533905932738,1891.5932438026932
353.5533905932738,1891.5932438026932
322.1176270013798,1030.776406404415
285.31780526283313,591.1766199016729
285.31780526283313,591.1766199016729
291.547594742265,527.3151092940498
279.5084971874737,1891.5932438026932
279.5084971874737,1891.5932438026932
285.31780526283313,1193.1517552730288
285.31780526283313,743.3034373659254
285.31780526283313,743.3034373659254
282.22070455070707,1356.5683830083096
291.547594742265,4257.346591481599
295.6869086084767,1438.5563751360053
295.6869086084767,4007.8048854703434
291.547594742265,4007.8048854703434
291.547594742265,4007.8048854703434
302.9174850847721,790.5694150420951
295.6869086084767,2388.12164681785
0.0,0.0
0.0,0.0
291.547594742265,790.5694150420951
302.9174850847721,824.5283129010852
302.9174850847721,824.5283129010852
300.46260628866577,5006.2460986251945
297.7714225193616,790.5694150420951
297.7714225193616,982.344135219425
292.9864320795693,743.3034373659254
288.87497894868613,485.9126579037752
292.9864320795693,485.9126579037752
292.9864320795693,1030.776406404415
297.7714225193616,1767.7669529663685
297.7714225193616,1767.7669529663685
300.46260628866577,1397.5424859373686
288.87497894868613,790.5694150420951
0.0,0.0
0.0,0.0
297.7714225193616,712.0003121097944
297.7714225193616,368.5792919365444
297.7714225193616,368.5792919365444
303.3826224835562,1767.7669529663685
294.8119103767689,327.4881993447385
294.8119103767689,339.1420957520773
290.0453371075885,1520.690632574555
294.8119103767689,990.4053603337263
294.8119103767689,1176.8602295939825
307.2259023943795,0.0
334.488738299786,0.0
