left_wrist_force,right_wrist_force,total_wrist_force,left_wrist_energy,right_wrist_energy
0.0,0.0,0.0,3.0,3.0
0.0,0.0,0.0,3.0,3.0
1091.515574785811,0.0,1091.515574785811,2.9960308524553243,3.0
390.5124837953327,426.9923713687407,817.5048551640734,2.994610807059705,2.99844730046775
0.0,0.0,0.0,3.0,3.0
0.0,0.0,0.0,3.0,3.0
257.6941016011038,0.0,257.6941016011038,2.9990629305396324,3.0
0.0,0.0,0.0,3.0,3.0
315.94179032858733,0.0,315.94179032858733,2.9988511207624415,3.0
292.67200038774484,390.5124837953327,683.1844841830775,2.99778685894285,2.9985799546043808
287.1705394265849,353.5533905932738,640.7239300198587,2.996742602435844,2.997294305911314
314.29473291533543,400.195264839553,714.4899977548885,2.9955997124979703,2.9958390504028065
310.53746634752497,291.547594742265,602.08506108979,2.9944704853476156,2.9947788773310164
310.53746634752497,295.6869086084767,606.2243749560016,2.993341258197261,2.993703652208804
318.5189062344791,261.00766272276377,579.526568957243,2.9921830076291354,2.9927545334352663
366.39793801219986,294.8119103767689,661.2098483889688,2.9908506514909092,2.991682490124805
366.39793801219986,300.46260628866577,666.8605443008656,2.989518295352683,2.99058989882921
377.8594682918212,310.0179206289713,687.8773889207926,2.988144260922531,2.9894625609360137
353.5533905932738,263.523138347365,617.0765289406388,2.9868586122294642,2.988504294978387
343.3122802920221,263.523138347365,606.8354186393871,2.9856102039374934,2.98754602902076
342.683003116583,340.22703871065636,682.9100418272394,2.9843640839261605,2.986308839789085
343.8727334205541,404.6475866992014,748.5203201197555,2.983113637622813,2.98483739401927
343.3122802920221,450.69390943299857,794.0061897250207,2.9818652293308423,2.983198507075877
300.46260628866577,479.4323434029312,779.894949691597,2.9807726380352473,2.98145511673623
326.8353249572163,623.723185591892,950.5585105491084,2.979584145944494,2.9791870324249867
334.488738299786,623.723185591892,958.211923891678,2.9783678232597675,2.9769189481137435
353.5533905932738,838.1527307120107,1191.7061213052843,2.977082174566701,2.9738711200020633
343.3122802920221,634.6477588219925,977.9600391140145,2.97583376627473,2.971563309969983
343.3122802920221,634.6477588219925,977.9600391140145,2.9745853579827592,2.969255499937903
364.7692978102735,3508.91721190455,3873.686509714824,2.9732589241725402,2.9564958009855227
377.8594682918212,430.11626335213145,807.9757316439527,2.971884889742388,2.9549317418460603
377.8594682918212,430.11626335213145,807.9757316439527,2.9705108553122357,2.953367682706598
353.5533905932738,462.3143604748122,815.8677510680859,2.969225206619169,2.9516865395775986
353.5533905932738,1891.5932438026932,2245.146634395967,2.9679395579261025,2.9448080186910435
353.5533905932738,1891.5932438026932,2245.146634395967,2.966653909233036,2.9379294978044883
322.1176270013798,1030.776406404415,1352.8940334057947,2.965482572407576,2.9341812199630177
285.31780526283313,591.1766199016729,876.4944251645061,2.9644450531157114,2.932031486799739
285.31780526283313,591.1766199016729,876.4944251645061,2.9634075338238466,2.9298817536364603
291.547594742265,527.3151092940498,818.8627040363148,2.9623473607520565,2.9279642441481184
279.5084971874737,1891.5932438026932,2171.101740990167,2.9613309662168295,2.9210857232615632
279.5084971874737,1891.5932438026932,2171.101740990167,2.9603145716816024,2.914207202375008
285.31780526283313,1193.1517552730288,1478.469560535862,2.9592770523897376,2.90986846871947
285.31780526283313,743.3034373659254,1028.6212426287586,2.958239533097873,2.9071655471290483
285.31780526283313,743.3034373659254,1028.6212426287586,2.957202013806008,2.9044626255386268
282.22070455070707,1356.5683830083096,1638.7890875590167,2.956175756698551,2.8995296496004146
291.547594742265,4257.346591481599,4548.8941862238635,2.955115583626761,2.8840483892677544
295.6869086084767,1438.5563751360053,1734.243283744482,2.9540403585045483,2.8788172751763508
295.6869086084767,4007.8048854703434,4303.49179407882,2.9529651333823357,2.864243439229186
291.547594742265,4007.8048854703434,4299.3524802126085,2.9519049603105456,2.8496696032820212
291.547594742265,4007.8048854703434,4299.3524802126085,2.9508447872387555,2.8350957673348565
302.9174850847721,790.5694150420951,1093.486900126867,2.9497432691111745,2.832220969461976
295.6869086084767,2388.12164681785,2683.8085554263266,2.948668043988962,2.823536890746275
0.0,0.0,0.0,2.956668043988962,2.831536890746275
0.0,0.0,0.0,2.964668043988962,2.839536890746275
291.547594742265,790.5694150420951,1082.11700978436,2.963607870917172,2.8366620928733943
302.9174850847721,824.5283129010852,1127.4457979858573,2.9625063527895907,2.8336638080992085
302.9174850847721,824.5283129010852,1127.4457979858573,2.9614048346620097,2.8306655233250226
300.46260628866577,5006.2460986251945,5306.70870491386,2.9603122433664146,2.8124609920572947
297.7714225193616,790.5694150420951,1088.3408375614567,2.959229438193617,2.8095861941844142
297.7714225193616,982.344135219425,1280.1155577387865,2.9581466330208195,2.806014033692707
292.9864320795693,743.3034373659254,1036.2898694454948,2.957081227813257,2.8033111121022856
288.87497894868613,485.9126579037752,774.7876368524613,2.9560307733443527,2.8015441569826356
292.9864320795693,485.9126579037752,778.8990899833445,2.9549653681367904,2.7997772018629856
292.9864320795693,1030.776406404415,1323.7628384839843,2.953899962929228,2.796028924021515
297.7714225193616,1767.7669529663685,2065.5383754857303,2.9528171577564306,2.7896006805561826
297.7714225193616,1767.7669529663685,2065.5383754857303,2.951734352583633,2.78317243709085
300.46260628866577,1397.5424859373686,1698.0050922260343,2.950641761288038,2.7780904644147144
288.87497894868613,790.5694150420951,1079.4443939907812,2.9495913068191335,2.775215666541834
0.0,0.0,0.0,2.9575913068191335,2.783215666541834
0.0,0.0,0.0,2.9655913068191335,2.791215666541834
297.7714225193616,712.0003121097944,1009.7717346291561,2.964508501646336,2.7886265744977985
